keys,it
"How far apart two grid cells are, with the same geometry dropdown the rest of the plugin uses: straight line, horizontal or vertical only, grid steps (Manhattan) or king moves (Chebyshev). One expression that fits a roguelike, a strategy game and a puzzle board alike.","Quanto distano due celle di una griglia, con lo stesso menu di geometria che usa il resto del plugin: linea retta, solo orizzontale o solo verticale, passi di griglia (Manhattan) o mosse del re (Chebyshev). Un'unica espressione che va bene per un roguelike, un gioco di strategia e un rompicapo a tabellone."
"distance from cell [b]{from_cell}[/b] to [b]{to_cell}[/b], measured as [b]{metric}[/b]","distanza dalla cella [b]{from_cell}[/b] alla cella [b]{to_cell}[/b], misurata come [b]{metric}[/b]"
From Cell,Dalla cella
One cell.,Una cella.
To Cell,Alla cella
The other cell.,L'altra cella.
Measured As,Misurata come
"How the distance is counted - a roguelike wants Grid steps, a chess board wants King moves.","Come si conta la distanza - un roguelike vuole Passi di griglia, una scacchiera vuole Mosse del re."
Straight line,Linea retta
Horizontal only,Solo orizzontale
Vertical only,Solo verticale
Grid steps,Passi di griglia
King moves,Mosse del re
Neighbours Of Cell,Celle vicine
"The cells touching a cell, as a list - flood fill, path search, ""is anything next to me"", spreading fire, match-three clearing. Choose four sides, eight including diagonals, or the six neighbours of an axial hex board.","Le celle che toccano una cella, come elenco - riempimento a macchia, ricerca di percorso, «c'è qualcosa accanto a me», incendio che si propaga, eliminazione nei match-tre. Scegli quattro lati, otto diagonali comprese, o le sei vicine di un tabellone esagonale assiale."
neighbours of cell [b]{cell}[/b] ([b]{shape}[/b]),celle vicine a [b]{cell}[/b] ([b]{shape}[/b])
The cell whose neighbours you want.,La cella di cui vuoi le vicine.
Shape,Forma
How cells touch on this board.,Come si toccano le celle su questo tabellone.
4 sides,4 lati
8 including diagonals,8 diagonali comprese
6 hex (axial),6 esagonali (assiale)
Cells In Line,Celle in linea
"Every cell a straight line passes through, in order from one cell to the other - a laser beam's path, tile-based line of sight, a corridor carved between two rooms, a ruler for a ranged attack. Both ends are included.","Ogni cella attraversata da una linea retta, in ordine da una cella all'altra - il percorso di un raggio laser, la linea di vista a caselle, un corridoio scavato fra due stanze, un righello per un attacco a distanza. Entrambi gli estremi sono inclusi."
cells in the line from [b]{from_cell}[/b] to [b]{to_cell}[/b],celle nella linea da [b]{from_cell}[/b] a [b]{to_cell}[/b]
Where the line starts.,Dove inizia la linea.
Where the line ends.,Dove finisce la linea.
Cells In Radius,Celle nel raggio
"Every cell within a step radius of a centre cell, as a list - a blast footprint, a range preview, a fog reveal, the tiles a tower covers. Choose the diamond (counting grid steps) or the square (counting king moves).","Ogni cella entro un raggio in passi da una cella centrale, come elenco - l'impronta di un'esplosione, l'anteprima di una gittata, la rivelazione della nebbia, le caselle coperte da una torre. Scegli il rombo (contando i passi di griglia) o il quadrato (contando le mosse del re)."
cells within [b]{radius}[/b] of [b]{center}[/b] ([b]{shape}[/b]),celle entro [b]{radius}[/b] da [b]{center}[/b] ([b]{shape}[/b])
Center Cell,Cella centrale
The middle of the area.,Il centro dell'area.
Radius In Cells,Raggio in celle
How many steps out from the middle.,Quanti passi dal centro verso fuori.
Whether the corners count.,Se gli angoli contano.
Grid steps (diamond),Passi di griglia (rombo)
King moves (square),Mosse del re (quadrato)
Cells In Rectangle,Celle nel rettangolo
"Every cell in a rectangular block, row by row - stamping a room, laying out an inventory grid, placing a multi-cell building, clearing a region of fog. An empty or negative size walks nothing rather than looping backwards.","Ogni cella di un blocco rettangolare, riga per riga - stampare una stanza, disporre una griglia d'inventario, piazzare un edificio che occupa più celle, ripulire una regione di nebbia. Una dimensione vuota o negativa non percorre nulla invece di girare all'indietro."
cells in the [b]{size}[/b] block at [b]{top_left}[/b],celle nel blocco [b]{size}[/b] a [b]{top_left}[/b]
Top Left Cell,Cella in alto a sinistra
Corner the block starts at.,L'angolo da cui parte il blocco.
Size In Cells,Dimensione in celle
How many cells across and down.,Quante celle in larghezza e in altezza.
Is Cell In Bounds,La cella è nei limiti
"True while a cell is on the board - the guard before every placement, every move and every array lookup keyed by cell. Counting starts at 0,0 in the top-left, so a 20 by 12 board's last cell is 19,11.","Vero finché una cella è sul tabellone - la protezione davanti a ogni piazzamento, ogni mossa e ogni lettura di array indicizzata per cella. Il conteggio parte da 0,0 in alto a sinistra, quindi l'ultima cella di un tabellone 20 per 12 è 19,11."
cell [b]{cell}[/b] is inside a [b]{size}[/b] board,la cella [b]{cell}[/b] è dentro un tabellone [b]{size}[/b]
The cell being tested.,La cella sotto test.
Board Size,Dimensione del tabellone
How many cells the board is across and down.,Quante celle è largo e alto il tabellone.
For Each Cell In Radius,Per ogni cella nel raggio
"Runs this event's actions once per cell within a step radius of a centre cell - range previews, blast footprints, fog reveal, area-of-effect highlights. Read the current one as `cell`.","Esegue le azioni di questo evento una volta per cella entro un raggio in passi da una cella centrale - anteprime di gittata, impronte di esplosione, rivelazione della nebbia, evidenziazioni ad area. Quella corrente si legge come `cell`."
for each cell within [b]{radius}[/b] of [b]{center}[/b],per ogni cella entro [b]{radius}[/b] da [b]{center}[/b]
Falloff At Distance,Attenuazione a distanza
"How strong an effect is at a distance, from 1 at the centre to 0 at the edge - the one number that makes an explosion, a sound, a magnet or a screen shake care how close it was. Anything past the radius reads as 0, so it is safe to multiply straight into damage. For a hand-drawn profile, feed this number into Sample Curve.","Quanto è forte un effetto a una certa distanza, da 1 al centro a 0 al bordo - l'unico numero che fa sì che un'esplosione, un suono, una calamita o uno scuotimento dello schermo tengano conto di quanto erano vicini. Tutto ciò che è oltre il raggio si legge come 0, quindi è sicuro moltiplicarlo dritto nel danno. Per un profilo disegnato a mano, dai questo numero a Campiona curva."
falloff from [b]{center}[/b] at [b]{point}[/b] within [b]{radius}[/b],attenuazione da [b]{center}[/b] a [b]{point}[/b] entro [b]{radius}[/b]
Where the effect comes from.,Da dove viene l'effetto.
What is being affected.,Cosa viene colpito.
Past this it reads 0.,Oltre questo si legge 0.
Profile,Profilo
How quickly the strength drops off with distance.,Quanto in fretta la forza cala con la distanza.
Linear,Lineare
Sharp (squared),Netto (al quadrato)
Smooth (ease out),Morbido (ease out)
Strength Toward,Forza verso
"Falloff between THIS node and another one, without spelling out either position - guard suspicion that builds faster the closer you are, a magnet that pulls harder up close, a sound that ducks as you approach. Reads 0 once the other node is out of range.","Attenuazione fra QUESTO nodo e un altro, senza scrivere nessuna delle due posizioni - il sospetto di una guardia che cresce quanto più sei vicino, una calamita che tira più forte da vicino, un suono che si abbassa mentre ti avvicini. Si legge 0 quando l'altro nodo è fuori portata."
strength toward [i]{node}[/i] within [b]{radius}[/b],forza verso [i]{node}[/i] entro [b]{radius}[/b]
Toward,Verso
The node the strength is measured against.,Il nodo rispetto a cui si misura la forza.
Apply Radial Impulse,Applica impulso radiale
"Throws this physics body away from a blast, weaker the further it was - barrels, crates, ragdolls and debris flung by an explosion. One row on the body; the blast only has to say where it happened.","Scaglia questo corpo fisico via da un'esplosione, più debolmente quanto più era lontano - barili, casse, ragdoll e detriti scagliati da un'esplosione. Una riga sul corpo; l'esplosione deve solo dire dov'è avvenuta."
apply radial impulse [b]{strength}[/b] from [b]{center}[/b],applica impulso radiale [b]{strength}[/b] da [b]{center}[/b]
Blast Center,Centro dell'esplosione
Where the explosion went off.,Dove è scoppiata l'esplosione.
Strength,Forza
"The push at the very centre, in impulse units.","La spinta proprio al centro, in unità di impulso."
Past this the push is nothing.,Oltre questo la spinta è nulla.
Push Group Away From,Spingi il gruppo via da
"Shoves every member of a group away from a point, hardest at the centre and not at all past the radius - the mirror of Pull Group Toward. A shockwave clearing a crowd, a repulsor field, a dash that parts the enemies it passes through.","Scaccia ogni membro di un gruppo via da un punto, più forte al centro e per niente oltre il raggio - lo specchio di Tira il gruppo verso. Un'onda d'urto che sgombera una folla, un campo repulsore, uno scatto che divide i nemici che attraversa."
push group [b]{group}[/b] away from [b]{center}[/b] within [b]{radius}[/b],spingi il gruppo [b]{group}[/b] via da [b]{center}[/b] entro [b]{radius}[/b]
Group whose members get shoved.,Gruppo i cui membri vengono scacciati.
Away From,Via da
Where the shove comes from.,Da dove viene la spinta.
Only members inside this are shoved.,Vengono scacciati solo i membri dentro questo raggio.
Pixels the closest member is moved.,Pixel di cui viene spostato il membro più vicino.
Is Within Cone Of,È dentro il cono di
"True while a point sits inside a facing wedge - guard vision, spotlight checks, melee arcs, directional blasts. The cheap test to put in front of an expensive raycast: if it is not in the cone, there is nothing to trace.","Vero finché un punto si trova dentro uno spicchio orientato - vista delle guardie, controlli di faretto, archi di mischia, esplosioni direzionali. Il test economico da mettere prima di un raycast costoso: se non è nel cono, non c'è nulla da tracciare."
